,objek wisata,ulasan,atraksi,amenitas,aksesibilitas
1249,gunung mas mantup,Pelayannannya kurang memuaskan.,,negatif,
2107,waduk gondang,aksesnya masih agak sulit dilewati mobil gerak roda depan ...,,,negatif
484,alun alun,Sangat bagus dan indah,positif,,
2775,wego,Tempat wisata yang asyiiikkkk..,positif,,
516,alun alun,Banyak tikusnyaaaaaaaa,,negatif,
1555,pantai kutang,"Pantai kutang,namanya hmm...pantai ini asik juga,pertama masuk kaget aq kira ga ada daratannya karena seperti tempat nelayan nyari ikan...setelah parkir mobil 5000 lalu tiket masuk per orang 5 ribu baru kita bisa melewati jembatan buatan diatas laut..ketika sudah di ujung jembatan ternyata banyak warung warung dan tempat daratan yang bisa buat renang dan bermain air..kalau ke tempat ini jangan lupa bawa autan,nyamuknya besar besar...sampe bentol2",positif,positif,
2275,wbl,"masih terkesan biasa biasa saja.
perlu tambahan penataan ruang rekreasi, agar lbh menarik bagi pengunjung.
Untuk wisata MAZOLA perlu tambahan tempat duduk bagi pengunjung,  supaya tempat wisata semakin nyaman.",negatif,negatif,
1479,gunung pegat,bagus,,,
569,alun alun,Semakin keren bersih dan nyaman enak buat nongkrong apalagi malam Minggu dan pas jg buat jogging,,positif,
1963,waduk gondang,Tempat rekreasi cocok untuk segala usia.,positif,,
1490,gunung pegat,Tempat wisata alami baru...,positif,,
2042,waduk gondang,"Kalau mau ngobrol santai diluar rumah, disini cocok bangettt",positif,,
1475,gunung pegat,Sekarang aksesnya sudah enak.,,,positif
2080,waduk gondang,Destinasi wisata terdekat dengan tempat tinggal.,,,positif
2301,wbl,"Sarana toilet diarea parkiran kurang , selalu antri",,negatif,
1185,gunung mas mantup,Tempat ini sangat Indah....dan Sejuk..... Apa lagi Gunung nya Seperti yg ada di Bali,positif,,
1126,goa maharani,Wahana wisata edukasi,positif,,
2054,waduk gondang,Bagus tp kurang terawat.,positif,negatif,
1996,waduk gondang,mantap,,,
2379,wbl,"Banyak wahananya, lokasi pinggir laut, cocok untuk liburan keluarga",positif,,
1928,pantai lorena,"Pantai koral, bebas masuk, bagus untuk spot foto atau sekedar main air di terumbu",positif,,
578,alun alun,"Tempatnya bersih asri, banyak permainan nya cocok law bawa anak².",positif,,
2324,wbl,"Saatnya manjakan anak, tempat bersih tertata dan relatif murah",positif,positif,
2687,wego,Lumayan untuk kolam renang... Akan tetapi kotor lingkungannya,positif,negatif,
1713,pantai lorena,Hiburan wisata tipis tipis sambil makan rujak cingur pinggir laut. Jangan lupa cicipin dawet siwalan nya,positif,,
732,alun alun,"Tempat terbaik untuk menikmati malam Minggu, bisa parkir mobil di halaman kantor dinas,",,positif,
1488,gunung pegat,Nyaman dan pemandanganya bagus,positif,,
1203,gunung mas mantup,Tempat wisata yg bagus..sangat menarik viewnya bisa buat spot foto,positif,,
652,alun alun,Bagus bersih juga,,positif,
2853,wbl,Kami tidak mengalami kesulitan dalam mencapai objek wisata ini karena jalan tidak rusak dan mudah dilalui.,,,positif
1322,gunung pegat,tadi malam anginnya kenceng.. serasa d puncak merbabu,positif,,
402,alun alun,Tempat nyaman ut refreshing keluarga,positif,,
1366,gunung pegat,"Tempat estetik, pemandangan bagus, sayang di puncak tidak ada cafe",positif,negatif,
1556,pantai kutang,"Perlu di tambah lagi arena foto dan mainannya..
Makanan harga dan rasa standart
Kurang banyak tempat istirahat yg tanpa harus duduk di warung",negatif,negatif,
1024,goa maharani,Good,,,
2003,waduk gondang,Susana yang nyaman dan sejuk cocok buat diskusi,,positif,
2575,wbl,Tidak sesuai dg foto masih bagus dg jatim park / taman safari,negatif,,
1614,pantai kutang,"Jembatan panjang, tanaman bakau, pantai pasir karang, beberapa spot foto. menarik, tp bukan buat renang. Hehe",positif,,
2598,wbl,Perlu perhatian lebih untuk kebersihan dll,,negatif,
2603,wbl,Tiket terlalu mahal,negatif,,
2222,wbl,Luar biasa,,,
951,goa maharani,"Tempat wisata,yg sgt cocok buat keluarga,ada byk oleh2 khas lmg,ada byk permainan di dalamnya,dan tempat istirahat juga parkir yg luas",positif,positif,
469,alun alun,Lumayan bagus tempatnya,,,
1833,pantai lorena,Pantainya bagus,positif,,
2067,waduk gondang,penataan penjual makanan krng tertata sehingga terkesan kumuh,,negatif,
1581,pantai kutang,"Wisata dg pemandangan laut,, berlokasi di belakang pemukiman warga,, sehingga tepi laut di batasi dengan pagar. G ada tempat untuk berteduh",,negatif,
1268,gunung mas mantup,"Kreatif dan instagramable. Mreneo,,",positif,,
2577,wbl,pelayanannya kurang memuaskan staffnya ngga ramah pengunjung.,,negatif,
697,alun alun,"Tempatnya bagus,ada ciri khas Sego boranan.",positif,,
1745,pantai lorena,Suasana pantai nyaman...hawanya sejuk karna angin kenceng..,positif,,
1361,gunung pegat,Mantap untuk santai bersama keluarga pemandangan yg indah,positif,,
2337,wbl,"Wahana permainannya semakin banyak dan tempat banyak yang berubah, terakhir kesana 2018 hehehe.
Tp sekarang tempatnya tambah bagus kok",positif,,
2692,wego,Lumayan,,,
1484,gunung pegat,Mantap pemandangan nya bagus,positif,,
2187,wbl,Seru banget permainan di dalamnya,positif,,
2215,wbl,Bagus. Fasilitas bertambah. Toilet bersih dan wangi,,positif,
1821,pantai lorena,Tempat nyaman dan santai sambil menikmati angin laut,positif,positif,
1253,gunung mas mantup,Oke,,,
2447,wbl,"Mantabz, sangat indah untuk berlibur..",positif,,
397,alun alun,Tempatnya strategis.nyaman utk bermain ank2,,positif,positif
2166,wbl,"Tempatnya luas, permainannya banyak,",positif,,
2133,wbl,Bagus,,,
960,goa maharani,"mayan brsih sih tpi krg brsih lagi..hhe..
trs prkir mobil dri depan ga kliatan..hrusnya lbih lebar dan luas..jdi ga perlu prkir d tmpat lain yg lbih mhal",,negatif,
1737,pantai lorena,"Semuanya oke, hanya saja kebersihannya perlu di jaga sehingga tidak terlihat kotor karena posisinya tepat di pinggir jalan sehingga mudah di jangkau",,negatif,positif
905,goa maharani,"Tempat liburan keluarga kalau lagi ada duit hehe. Yah udah nggak asing sih wisata ini, makin maju wahananya, nggak hanya goa, ada binatang langka juga disana. Mantep pokoknya",positif,,
1684,pantai kutang,Perjalanan menuju pantai ini lumayan jauh tetapi akses jalannya sudah cukup baik.,,,positif
1578,pantai kutang,"Jika ingin hunting foto disini, saya sarankan datang lebih pagi karena pengunjung belum ramai, dan spot foto bisa dipilih lebih leluasa. Dengan cahaya matahari pagi yang tak begitu terik, anda bisa menghasilkan efek foto yang natural dan aestetik.",positif,,
276,alun alun,Suasana sejuk dan pemandangan kota yang indah dengan berbagai mainan edukasi dan hiburan yang lumayan dapat dinikmati bersama keluarga,positif,,
1798,pantai lorena,Sore lebih nyaman,,positif,
1532,gunung pegat,Tempat bagus,,,
340,alun alun,Mudik kmrn tambah bagus tempatnya,positif,,
2647,wego,Kolam renangnya oke,,positif,
2083,waduk gondang,"Sejuuk pas sore"" Buat santai enaak, HTM 3000  makanan murah""",positif,positif,
632,alun alun,tempatnya bagus bersih,,positif,
426,alun alun,"di alun"" sangat rame dan seru",positif,,
187,alun alun,Kesana menarik sambil istirahat dan sholat Ashar berjamaah di masjid belakang alun alun.,positif,,
2270,wbl,Akses mudah dan jalan yang tidak rusak,,,positif
759,alun alun,"Tempat hiburan keluarga tanpa biaya, ruang hijau, dan ada yg baru yaitu ada bianglala",positif,,
266,alun alun,Tempatnya bagus,,,
2787,wego,Lokasi lumayan jauh dari jalan kota…,,,negatif
1320,gunung pegat,Wisata gunung keluarga yg bagus ..fasilitas cukup komplit,,positif,
2452,wbl,anda dapat mencoba beraneka wahana yang gak kalah seru disini,positif,,
1159,gunung mas mantup,"pertama kesini ada kontribusi warga 5k, masuk keliatan bagus gitu ada sungai untuk naik bebek. tiket masuk 10k per orang. di dalamnya ada musolah, tempat foto, jajanan , bebek ontel, sewa sepeda mini",positif,,
1968,waduk gondang,Sangat indah dan sangat menyenagkan tempat yg rekomended untuk dikunjungi,positif,,
2850,wbl,kolam renangnya bagus dan ga kotor,,positif,
2835,wego,Kondisi jalan  tidak terawat ,,,negatif
574,alun alun,Taman alun alun lamongan sekarang  indah ayeeeem gitu,positif,,
1818,pantai lorena,Banyak sampah,,negatif,
1959,waduk gondang,tempatnya sejuuk... adem  dan tenang. recomended buat melepas penat bersama keluarga aman buat anak2 dan nyaman..,positif,,
318,alun alun,"Sarana permaian gratis untuk warga Lamongan, walaupun banyak fasilitas yang telah rusak",,negatif,
347,alun alun,Alun alun kota Lamongan Jatim .. cocok buat bersantai dengan keluarga anda..,positif,,
2552,wbl,parkiran cukup luas,positif,positif,
471,alun alun,"Tempat bermain anak, Alun"" Lamongan.",positif,,
2717,wego,Baek bagus,,,
167,alun alun,Tempat yang menyenangkan untuk bermain bersama keluarga.,positif,,
2620,wbl,Akses ke tempat wisata bahari juga mudah ditemukan dengan bantuan aplikasi navigasi seperti Google Maps,,,positif
132,alun alun,Tempatnya strategis,,,positif
408,alun alun," tempat nyaman, dekat dengan masjid. Sukaa.",,positif,
500,alun alun,Kurang permainan anak-anak jadi kurang menarik anak anak tidak betah,negatif,,
2362,wbl,"Nice place to refreshing...
Masih sepi, untuk kebersihan sarana perlu ditingkatkan (mushola)",,negatif,
2316,wbl,Mungkin karena pandemi Beberapa wahana sdh mulai rusak,negatif,,
2748,wego,"Tempatnya luas, cocok buat rekreasi bersama keluarga besar, ada permainan anak2, kolam renang, tempat kemah juga ada",positif,,
686,alun alun,"Tempatnya asri, cocok dibuat jogging+nyari jajan. ",positif,,
119,alun alun,"Tertata rapi,cocok buat destinasi wisata keluarga...pedagang nya sdh direlokasi",positif,positif,
1316,gunung pegat,"Beginilah waktu dulu. Tak ada kendaraan berasap. Udara begitu bersih, tumbuhan hijau tumbuh dengan suburnya.
Yang membuat kita bisa menikmati pesonannya.",positif,,
698,alun alun,Kalau hati libur selalu kesini bawa beras... agar sikecil bisa kasi makan burung dara disana...,positif,,
761,alun alun,bianglalanya ga pernah hidup lagi,negatif,,
2070,waduk gondang,"Bagus, banyak kemajuan dan lagi G Park segera dibuka",positif,,
1559,pantai kutang,Baguus bangeet sih pantainya. Banyak tempat buat foto-foto juga. Instagrammable bangetlah pokoknya.,positif,,
1269,gunung mas mantup,"pintu keluar masuk buat mobil pas banget sempit jd harus gantian jika masuk, tidak ada petunjuk arah.",,,negatif
2030,waduk gondang,"Rindang sejuk, permainan anak cukup lumayan banyak",positif,,
2557,wbl,Wisata bahari sangat bagus dan banyak permainan dan pembelajarann,positif,,
272,alun alun,. Beberapa arena bermain ada yang kurang terawat kondisinya. Berkarat dan hampir patah.,,negatif,
645,alun alun,Bersih dan tertib,,positif,
651,alun alun,"Bagus, bersih",,positif,
2819,gunung pegat,Tidak ada hal yang istimewa atau menonjol di objek wisata ini.,negatif,,
661,alun alun,Bersih nyaman,,positif,
34,alun alun,"Rame,, pas liburan juga,, liburan Deket rumah gratis pula lumayan save cuan",,,positif
2476,wbl,Mantap,,,
619,alun alun,"Murah meriah ,tempat nya bersih",,positif,
1857,pantai lorena,lumayan bersih dan destinasi wisata gratis,positif,,
793,alun alun,"Cocok buat rehat, santai bersama keluarga, temen, pacar.",positif,,
349,alun alun,"Tempatnya bersih, sejuk dan nyaman dekat dengan masjid agung",,positif,
2378,wbl,Wahananya seru2 dan pemandangan pantainya indah. Tiket lebih murah saat weekdays,positif,,
1060,goa maharani,Cocok sekali untu anak2 belajar didunia luar,positif,,
2278,wbl,"Kebetulan datang pas barengan sama banyak banget rombongan anak sekolah, sehingga ada penumpukan di pintu masuk. Ruang bilas dan ruang ganti yg sangat kurang layak dan kurang mencukupi utk jumlah pengunjung segitu banyak. Belum lagi ruang bilas sangat tertutup tanpa ventilasi udara, td ada yg pingsan disana. Ruang bilas hanya ditutup tirai yg menyatu antara satu ruang dengan ruang lain. Sehingga klo satu ditarik surang satunya juga ikut terbuka.",,negatif,
1445,gunung pegat,"Deket dari rumah, mau  nanjak gunung tp cpt ya disini 15 mnt sdh nymp puncak..",,,positif
2091,waduk gondang,fasilitasnya Kurang terawat,,negatif,
1886,pantai lorena,View bagus. Akses mudah.,positif,,positif
1549,gunung pegat,sekarang ga perlu khawatir karena akses jalannya sudah bagus dan mudah dijangkau,,,positif
2863,goa maharani,Kondisi jalan yang tidak rusak membuat perjalanan kami menjadi lebih efisien,,,positif
186,alun alun,Tempat sih sejuk...banyak temapt duduk nya,positif,positif,
2293,wbl,"Bagus sekali,,rekomendasi untuk berwisata keluarga,gathering,anak-anak sekolah maupun yang lainnya...tempatnya juga terjaga bersih,,",positif,positif,
1521,gunung pegat,Indah,positif,,
2530,wbl,Menyenangkan,,,
1313,gunung pegat,Jalan ke atas cukup menanjak. Jadi persiapkan diri anda dan kelompok bila mau naik pakai sepeda gowes. Ada live music di atas.,positif,positif,negatif
2192,wbl,beberapa wahana terlihat kurang terawat dan kurang nyaman di naiki,negatif,,
72,alun alun,ada taman bermain anak juga,positif,positif,
2173,wbl,Lengkap wahananya.,positif,,
1568,pantai kutang,Lumayan buat cuci mata di jembatan warna warni di sepanjang pantainya,positif,,
164,alun alun,"Bersih, enak buat olahraga atau bersantai pagi bareng keluarga",positif,positif,
1720,pantai lorena,Ciptaan ALLAH SWT memang sempurna dan indah banget. Segala jenis makanan juga tersedia di sini.,positif,positif,
2350,wbl,view pantai nya ciamik,positif,,
2130,wbl,Senang sekali,,,
1023,goa maharani,Edukasi,positif,,
2412,wbl,Lengkap permainan wisatanya sangat menarik cocok bagi keluarga,positif,,
237,alun alun,Nyaman buat ngajak anak² bernain d sini,positif,,
1412,gunung pegat,Tempat sederhana dan pemandangan bagus. Luas dan alami. utk hiburan keluarga,positif,,
2777,wego,Recommend cuma jalan menuju lokasinya banyak yang rusak,,,negatif
1702,pantai lorena,Wisata tepi pantai pemandangan senja yg bagus banget dan juga pastinya GRATIS,positif,,
2396,wbl,"Paket lengkap wahana bermain, pantai dan kebun binatang",positif,,
2134,wbl,"sangat bagus dengan wahana permainan yang sangat menantang adrenalin.tempat parkir luas,toilet&mushola bagus.",positif,positif,
1648,pantai kutang,Pariwisata Murah...sayangnya kebersihan lingkungan kurang terjaga...,,negatif,
1569,pantai kutang,"Pantai Kutang lokasinya lumayan ada di ujung lamongan.
Setelah loket karcis ada jembatan yang membawa ke ujung pantainya. Disana ada beberapa tempat makan & ayunan dekat pantai, banyak pohon bakau juga. Pantainya tidak begitu berbahaya untuk anak-anak tetap perlu pengawasan. Buat piknik dirasa cocok sekali.

Posisi tempat parkir mobil dengan loket karcis jaraknya agak jauh jadi awalnya kukira tempatnya cuma dermaga aja. Parkir sepeda motor lebih dekat dengan loket karcis.",positif,negatif,
242,alun alun,Tiket parkir mahal+wifi eror,,negatif,
1495,gunung pegat,Ok jg,,,
620,alun alun,"Sekarang lebih bersih,rapi dan nyaman",,positif,
1946,pantai lorena,mudah dijangkau karena berada di pinggir jalan raya,,,positif
2423,wbl,Lumayan bagus buat momong si kecil,positif,,
603,alun alun,"Bersih seperti biasanya, tempat ramah anak,",,positif,
2169,wbl,Mantap,,,
2311,wbl,"Terkahir kesini beberapa tahun lalu ternyata tidak ada yang berubah, hanya beberapa yang berubah, tapi perubahan nya tidak bagus",negatif,,
1784,pantai lorena,"karangnya tajam sekali..
Bikin terpleset terus menyakitkan badan..",negatif,negatif,
261,alun alun,"Taman kota yg tenang, cocok buat refres saat sore hari.",positif,,
146,alun alun,Bru prtma kli main ksini.....yg pling kusaka ada swafoto psawat trbng.....dn biang lala,positif,,
16,alun alun,Wah sekian lama baru melihat wajah alun2 lamongan yg baru seperti alun2 batu Malang.. ada keranjang gantung...dan fasilitas bermain lainya..anak2 seneng..murah meriah,positif,positif,
558,alun alun,Semakin kereeen alun2 kota Lamongan ... Bersih dan nyaman sekali buat anak bermain,,positif,
2629,wbl,Letak wisata bahari Lamongan di jalur pantura membuatnya mudah dijangkau oleh pengunjung dari berbagai latar belakang dan daerah,,,positif
848,alun alun,Lokasi alun-alun yang strategis di tengah kota membuat tempat ini mudah diakses oleh masyarakat lokal dan wisatawan.,,,positif
311,alun alun,"Sangat Fantasi Dan Cocok buat Bermain, Bersantai , Healing, Refresing Dan Lain Lain.",positif,,
2742,wego,"tempat wisata di tengah hutan, mantap lah",positif,,
1577,pantai kutang,"Pantainya lumayan bagus, cuman sedikit yg perlu ditertibkan orang masih buang sampah di laut",positif,negatif,
2103,waduk gondang,Tempat yg sejuk,positif,,
196,alun alun,"Tempatnya bersih terawat, nyaman dan banyak mainan anak2",positif,positif,
2157,wbl,Tempat yang menarik wisatawan untuk berkunjung disini,positif,,
1589,pantai kutang,"Sby - lamongan setelah sampai ee tutup.. Heheh efek corona/ppkm.
Tk apa lahh, sampe tujuan bisa bercengkrama dgn warga..",,,
1244,gunung mas mantup,aman,,,
380,alun alun,"Tempat rekreasi murah utk keluarga.
Klo ke sana agak sorean attau malam.
Krn panas banget klo siang",positif,,
1899,pantai lorena,Terima Kasih sudah dipermudah untuk aksesnya,,,positif
1485,gunung pegat,Mantep,,,
891,goa maharani,"Kasian sama hewannya, banyak yg kurang makan kayanya. Keliatan kurus-kurus:(",negatif,,
405,alun alun,Bagus ada mainannya,positif,,
1573,pantai kutang,"Pantai tempat wisata yg lumayan siap, tolong tambah tempat sampah yg banyak, sayang tempat yg sdh bagus di kotori dg org2 yg tdk bertanggung jawab dg membuang sampah sembarangan",,negatif,
873,goa maharani,"Kebun binatangnya bersih, terawat.. hewan nya juga gemuk²... Bisa ngasih makan hewan juga... Khususnya jerapah... Semua karyawan ramah",positif,positif,
655,alun alun,Tempanya nyaman dan bersih,,positif,
2848,wbl,Pemandangan pantai di sekitar objek wisata ini begitu cantik dan tidak terlihat tercemar oleh sampah atau limbah.,,positif,
2391,wbl,"Tempat wisata yg terdapat banyak wahana. Baik darat, udara, maupun air. Di tempat ini juga terdapat warung makanan dan minuman yg dapat disinggahi ketika lelah ",positif,positif,
921,goa maharani,"Tempat nya jauh lebih bagus dari pada dulu, & fasilitas nya jauh lebih lengkap daripada dulu",,positif,
1783,pantai lorena,"banyak penjual makanan di pinggir pantai, sambil nikmati angin laut",positif,positif,
1063,goa maharani,Keren tempatnya,positif,,
1686,pantai kutang,Sangat tenang dan indah. Akses kesana sudah sangat mudah,positif,,positif
2510,wbl,Ramai,,,
2797,wego,Sayang nya jalan becek yg di belakng,,,negatif
1095,goa maharani,"Bagus...tempatnya bersih, byk hiburan dan tempat bermain, pingin ke sana lg..",positif,positif,
1184,gunung mas mantup,"kurang istimewa, hanya spot foto biasa.",negatif,,
2482,wbl,Bagus,,,
1880,pantai lorena,Ditinjau lagi karcis parkirnya,,negatif,
2418,wbl,Parkiran cukup luas.,,positif,
728,alun alun,"Terdapat permainan, cocok untuk anak-anak, terdapat tempat yang sejuk, lapangan basket dan lain-lain.",positif,,
2145,wbl,"Saya dan keluarga saya berkunjung pada hari Sabtu kebetulan tempatnya tidak terlalu ramai, disini banyak sekali area untuk berfoto, disini juga ada kebun bintang, kolam renang, area bermain laut,dll .. sangat cocok untuk berlibur menghabiskan waktu bersama keluarga",positif,,
2724,wego,"Cocok untuk quality time sama keluarga tiketnya murah, bisa berenang sepuasnya",positif,,
2137,wbl,Mantap,,,
1478,gunung pegat,Keren banget view nya,positif,,
1115,goa maharani,Seru sekali,,,
1193,gunung mas mantup,Bagus dan spotnya banyak.... Tapi panas,positif,negatif,
1492,gunung pegat,Kuliner minggu paginya mantap,,positif,
108,alun alun,"Suasananya enak, bersih dan rindang serta ada wahana permainannya pula.",positif,positif,
535,alun alun,"Tempat bersih, tertata rapi, dekat masjid",,positif,
1877,pantai lorena,"Nyaman,dan indah di sore hari",positif,,
1966,waduk gondang,"Tempat bermain anak"" banyak yg rusak,kurang perawatan",,negatif,
1139,goa maharani,Bagus,,,
1272,gunung mas mantup,"Meski butuh beberapa pengembangan lagi, tempat ini cukup mudah di akses, juga terdapat penjual makanan yg bisa di akses dgn mudah jika kebetulan pengunjung tidak membawa makanan dari rumah.",,positif,positif
1698,pantai lorena,"Cukup menyenangkan bisa mampir di pantai ini. Anak-anak bisa menyewa serokan untuk menangkap ikan yg terjebak di karang, meskipun akan lebih baik jika ikan-ikan itu dibiarkan hidup lebih lama tanpa menangkapnya.

Banyak kelomang juga, Serta adabanyak penjual makanan dan minuman. Liburan murah bisa ke sini, tapi harus selalu mengawasi setiap langkah kaki, apalagi untuk anak-anak, harus didampingi oleh orang tua.",positif,positif,
812,alun alun,tiap weekend gak pernah sepi. aneka mainan anak jg tersedia di kelilingi penjual nasi boran,positif,,
2456,wbl,"Kekurangan satgas covidnya, banyak org yg kebal covid gak pake masker",,negatif,
1982,waduk gondang,Tempat parkis luas dan bisa leyeh leyeh di lokasi...,,positif,
1984,waduk gondang,Tempat sejuk. Cocok untuk wisata keluarga,positif,,
2507,wbl,bagus banget,,,
2318,wbl,"Banyak permainan dengan tiket full,  pagi sampai sore berasa happy",positif,,
1773,pantai lorena,Lokasi nya view langsung laut. Banyak kuliner juga Bisa serok ikan jugaa,positif,positif,
2044,waduk gondang,bagus sejuk,positif,,
1662,pantai kutang,Pantai di Lamongan Utara,,,
2719,wego,Monggo Liburan di WeGo banyak discon dan dapat sovenir emok WeGo Cantik,positif,,
2806,gunung mas mantup,"Fasilitas yang tersedia di objek wisata ini sangat memuaskan, terutama area restoran dengan pemandangan yang menakjubkan. Sayangnya, jalan aksesnya bergelombang.",positif,positif,negatif
2578,wbl,utk sementara saya berikan 4 bintang krn ada beberapa wahana yg lagi butuh perawatan,negatif,,
1077,goa maharani,"Lokasi di lamongan utara
Dengan koleksi satwa yang cukup banyak dan bermacam
Lokasi dekat dengan wisata WBL",positif,,positif
614,alun alun,Bagus bersih,,positif,
1709,pantai lorena,Hiburan murah meriah tanpa biaya bisa mengurangi kepenatan.,positif,,
1058,goa maharani,Mantaaaaaap,,,
2059,waduk gondang,Asri dan nyaman,positif,positif,
2291,wbl,Wisata keren & juga lengkap untuk semua usia di pesisir LA,positif,,
1190,gunung mas mantup,daya tariknya kurang,negatif,,
837,alun alun,"Banyak aneka kuliner disini mulai soto lamongan, lalapan, dan lain2. ",positif,,
987,goa maharani,Tempat nyaman,,positif,
1413,gunung pegat,"Dulu tempat angon dan ngarit, sekarang jadi tempat wisata hehe",,,
585,alun alun,"Ramah, bersih, murah merakyat parkir memadai makanan enak dan murah.",,positif,
2419,wbl,"Wisata legendaris di Lamongan, sangat menyenangkan sekali untuk berwisata bersama dengan keluarga, apalagi untuk urusan tiket, wajib hukumnya beli tiket terusan untuk menikmati semua wahana di wisata ini !!",positif,,
596,alun alun,Tempatnya bersih nyaman bwt bermain anak2 juga,,positif,
1306,gunung pegat,"Nongki sore bakalan asik ni di sini, dan setiap minggu pagi ada yang jualan. Makanannya ada tahu kupat, rames, sempol, bakso bakar, dll",,positif,
2008,waduk gondang,"Tempatnya adem,sejuk dan luas",positif,,
796,alun alun,Bagus nyaman buat liburan keluarga,positif,,
2019,waduk gondang,Mantap,,,
2695,wego,"Rimbun, sejuk, adem",positif,,
1338,gunung pegat,Pemandangan yang bisa di lihat dari atas wisata gunung pegat,positif,,
807,alun alun,"Banyak yang jual nasi boran.. 10 ribu  dapet lauk ayam, sate jeroan, gimbal, peyek",positif,,
1504,gunung pegat,Cakep pemandangannya,positif,,
2282,wbl,Wisata yg sangat bagus buat keluarga...harga yg terjangkau...pokoknya top .....tempatnya bersih...,positif,positif,
2221,wbl,Bagus dan baik,,,
95,alun alun,"Bagus, cuma agak kotor. Sudah ada tempat sampah, hanya kesdaran masing². Permainan anak banyak yg sudah rusak, tp anak² happy",,negatif,
503,alun alun,Indah,positif,,
2328,wbl,Alhamdulillah supir udh diperhatikan sama pihak pengelola wisata dengan diberi banus walaupun cm makan minum ma snak luar biasa. Makasih WBL.,,positif,
2180,wbl,"Wahananya seru"" banget kayak di ancol.",positif,,
2151,wbl,Lokasinya jelas sangat indah wahananya banyak cocok untuk semua umur deh,positif,,
1209,gunung mas mantup,tempat wisata yg sgt bagus n trjangkau..banyak spot foto,positif,,
131,alun alun,"Tempatnya nyaman buat nongkrong..
Sayang untuk sarana bermain mohon untuk sgra diperbaiki soalnya banyak yg rusak...",,negatif,
1248,gunung mas mantup,Masih perlu banyak perbaikan,,negatif,
553,alun alun,Tambahan fasilitas yg baru menambah betah,,positif,
1124,goa maharani,Ada hewan,positif,,
1432,gunung pegat,Jalannya naik naik... Ke puncak gunung... Bagusnya kalau pagi melihat sunrise,positif,,negatif
1243,gunung mas mantup,Senang sekali di wisata gunung emas,,,
1647,pantai kutang,Penjaga kurang tanggap kepada wisata....baik dalam sapaan ataupun retribusi pengembalian...,,negatif,
270,alun alun,Tempat nya ramai di kota Lamongan parkir agak susah untuk kendaran mobil,,negatif,
2214,wbl,"Alhamdulillah WBL sudah menggeliat lagi dengan pengunjung yang mulai rame,  semoga kondisi ini seterusnya tanpa takut dan ditakut-takuti masalah covid dan vaksin.
Roda ekonomi dah melesat ladi di pantura. Khusus WBL fasilitas dan pelayanan masih amat bagus, bersih dan jauh dari aroma negatif.",,positif,
2347,wbl,"Ke sini-nya kalo ada acara study wisata bersama anak-anak Masasila, ya. Hehe, karena bisa setahun or dua tahun sekali ke WBL jadinya ya berkesan. Awal Januari lalu entah sudah keberapa kalinya ke WBL. Alhamdulillah, semakin ke sini semakin baik, lah. Harga tiket standar kalo dibandingin sama Jatim Park (bahkan buat sy lebih terjangkau). Fasilitas bagus buat dewasa, remaja, anak-anak. Jadi menyesuaikan sj. Fasilitas umum lainnya (toilet, musala, rest area, area parkir) cukup bagus dan fungsional. Food court nya yang mungkin harus dibenahi, harga lumayan juga rasa harus lumayan, dunk. Bintang 4,5 buat WBL yaa. Semoga next bisa ke sini lagi. Aamiin.",positif,positif,
669,alun alun,Bersih rapi,,positif,
141,alun alun,"Bagus tempat nya, perlu ditambah spot foto yg lebih",positif,,
1295,gunung pegat,Naik gunungnya capek tapi pas di atas sangat menyenangkan pemandangan nya indah dan bayak tempat fotto,positif,,
1393,gunung pegat,"Siap²dimanjakan sama viewnya yg subhanallah, siap²pula adrenalin untuk medan ke lokasinya. Keep savety and happy holidays",positif,,negatif
1848,pantai lorena,bagus indah pemandangannya,positif,,
547,alun alun,Bagus lebih dijaga kebersihannya ya,,negatif,
2460,wbl,Bagus tapi permainan nya sedikit,negatif,,
2489,wbl,Wisata sekaligus belajar,positif,,
2599,wbl,Tempatnya bersih tapi bangunan masih lama,,positif,
2124,wbl,Banyak sekali wahana permainan anak2 dan edukasi kolamnya jg bersih petugas jaganya jg ramah2,positif,positif,
482,alun alun,Jalannya bagus,,,positif
1911,pantai lorena,Buat healing,,,
388,alun alun,playground gratis. hihihi,positif,,
2340,wbl,"Wahana wisata yang lengkap serta luas, ada kebun binatangnya juga.. Walaupun tiketnya cukup lumayan mahal tapi sesuai dengan apa yang di dapat..",positif,,
2529,wbl,Bagus,,,
229,alun alun,"bagus, banyak permainan buat anak anak, hanya saja masalah penerangan saya rasa masih kurang.",positif,negatif,
2056,waduk gondang,bagus,,,
613,alun alun,Bersih alun2 nya mantap,,positif,
2817,gunung pegat,Tidak ada daya tarik yang istimewa atau menarik hati di objek wisata ini.,negatif,,
1085,goa maharani,"Lama udah g mampir lagi,tp ceritanya seru banget.",,,
259,alun alun,"Tempatnya bagus buat CFD di hari libur, recomended banget",positif,,
2546,wbl,Harus ada peningkatan wahana dan jenis hiburan yg baru dan menarik,negatif,,
2899,gunung mas mantup,Akses menuju objek wisata ini sulit karena jalannya yang berliku dan kurangnya papan petunjuk arah,,,negatif
1096,goa maharani,Tempatnya sangat bagus dan bersih,,positif,
531,alun alun,"Nyaman dan Asri, apalagi berhadapan dengan masjid agung jadi mudah beribadah..",positif,positif,
