objek wisata,ulasan,atraksi,amenitas,aksesibilitas
wbl,Banyak permainan menarik yg wajib di coba,positif,,
gunung pegat,"untuk menuju kesini bisa dijangkau dengan sepeda, sepeda motor, maupun mobil dengan jalur yang sudah nyaman dilalui berupa cor beton dengan medan yang menanjak diatas banyak terdapat warung yang menjajakan makanan atau untuk tempat beristirahat disini sudah ada fasilitas toilet juga terdapat wahana permainan anak-anak yang bisa dinikmati bila ingin mendirikan tenda untuk camping sudah ada area yang disediakan wisata gunung pegat juga cocok untuk kalian yang solo traveling, bersama teman,sahabat maupun keluarga karena wisata yang ramah dikantong .",,positif,positif
alun alun,Tmpat yg co2k untuk refresing anak2,positif,,
pantai kutang,"Pertama kali ke sini, ini foto desember 2021 kmrn, tempatnya kayaknya msh baru, pas ke sana msh pagi, jd airnya surut ga bisa buat maen air karena banyak kerang2nya gt, kamar mandi warung2 banyak, murah2 jg, buat nongki2 santai gt enak kok, lumayan lah buat maen ama keluarga, tp jgn expect too much lah pokoknya.",positif,positif,
waduk gondang,"Sejuk, makanan enak",positif,positif,
alun alun,"Tempat yang sangat menarik, dan patut diacungi  jempol. ",positif,,
waduk gondang,asri,positif,,
alun alun,Ada peninggalan pesawat nich ..,positif,,
goa maharani,"Tempat cukup bagus. Bersih, hewan2 terawat dgn baik. harimaunya kelihatan gemuk dan sehat. Tiket terjangkau. Parkiran kendaraan terbatas. Bisa numpang di WBL  atau di tanah kosong sekitarnya (ongkos parkir lebih mahal, tp aman).",positif,negatif,
alun alun,Bagus skrg tertata dg rapi....paling bagus utk menghabiskan minggu pagi dg keluarga dan anak2 karna banyak mainan anak dan area yg luas \,positif,,
wbl,"Asik menarik indah tpatnya
Aman",positif,,
wego,Sayngnya jalan becek yg di belakng,,,negatif
wbl,Wahanya semakin banyak yang baru. Good,positif,,
alun alun,alun2 bersih dan  tertata rapih,,positif,
gunung pegat,"Kl masih pagi enak sekali belum ramai, udara segar",positif,,
alun alun,Bersih cocok untuk santai bersama keluarga,positif,,
wbl,Wahana nya keren dan asyik,positif,,
gunung pegat,"Tempat yang sangat Indah sambil menikmati pemandangan daerah bulu dari atas bukit ini, cocok juga untuk berkemah.",positif,,
goa maharani,"Wisata konservasi yg cukup lengkap, bisa lihat satwa2 + ada goa bagus dan wahana permainan anak yg seru disini juga ada atraksi satwa setiap harinya. Protokol kesehatan disini juga cukup baik tersedia, handsanitizer dan tempat cuci tangan di area. Suasana disini juga rindang. Suka banget",positif,positif,
goa maharani,Tempatnya bersih,,positif,
alun alun,Bagus bt tempat istirahat sejenak melepas lelah ,positif,,
wbl,"Murah, meriah, puas",,positif,
pantai lorena,"Pengelolaan sampah masih kurang sekali.

Tempat parkir sempit.",,negatif,
wbl,"Pelayanan sangat buruk,tidak ramah wisata nya bagus sih tpi pelayananya aja GK bagus apa lagi yang jaga kolam renang sangat tidak ramah haduh masak harus pakek baju renang alay banget dah",,negatif,
wbl,Keren banyak wahana dan fasilitas lengkap..,positif,positif,
wego,"Cocok untuk quality time sama keluarga tiketnya murah, bisa berenang sepuasnya",positif,,
gunung pegat,"Nongki sore bakalan asik ni di sini, dan setiap minggu pagi ada yang jualan. Makanannya ada tahu kupat, rames, sempol, bakso bakar, dll",,positif,
alun alun,Tamannya luas dan bersih,,positif,
alun alun,bianglala jarang buka,negatif,,
gunung pegat,tmptnya sungguh indah.,positif,,
wbl,Tempat wisata yang indah dan banyak wahana permainannya...,positif,,
pantai lorena,Kalau buat chillin' di sore hari sabi sih.,positif,,
wbl,Buat latihan jantung permainanx,positif,,
wego,Parkir kendaraan yg luas dan aman  serta terdapat area untuk istrahat makan didalam wisata.,,positif,
alun alun,"Bersih...
Sayang pas kesitu bianglala nya tutup",negatif,,
pantai kutang,"Tempatnya bagus, bersih, adem, banyak spot yang indah cocok untuk liburan keluarga",positif,positif,
alun alun,Karna tempat yang sangat nyaman dan bersih,,positif,
wbl,Tempatnya bersih luas ...pilihan wahana juga banyak..harga makanan standart...toilet juga bersih...,positif,positif,
wego,Wego merupakan tempat yg luas dan cocok untuk wisata edukasi dan berkemah,positif,,
gunung pegat,Pemandangan yg indah.,positif,,
goa maharani,"Tempat wisata edukasi yg bagus buat anak2...HTM terjangkau...dekat rumah

Anak ku seneng banget bisa lihat binatang2",positif,,
pantai kutang,Sangat tenang dan indah. Akses kesana sudah sangat mudah,positif,,positif
alun alun,"alun alun nya bersih, ada fasilitas banyak
nyaman sekali..",,positif,
alun alun,"Tempat ternyaman bersantai dengan keluarga, seringkali juga dijadikan tempat melaksanakan acara dengan kegiatan2 penting untuk warga Lamongan",positif,,
alun alun,"Tempatnya kids friendly, bisa untuk mengenalkan anak² pada burung, banyak permainan yg bisa dimainkan",positif,,
wego,Tempatnya bagus,positif,,
alun alun,Menyenangkan,positif,,
wego,"Pesawatnya juga kurang menarik, dan ga dingin lagi dalemnya, apalagi spot fotonya, dikitt, malah kaya pasar kebanding wisata, terus juga wahananya gitu gitu aja, tambahin kalii, udah bagus tuh yang naik motor jalannya gedee, tapi buat permainan tembak tembakan tempatnya bener bener kaya gudang. Terus juga kalau bisa pulau pulau ditengah danau tuh dikasih hiasan, jangan polos cuman dikasih pohon. Tempatnya juga panas jadi kalau bisa mainnya sore aja, pokoknya kalau mau cari tempat yang bagus jangan disini deh, nanti nyesell. Soalnya ini tempatnya beneran jelek banget pribadi",negatif,,positif
wbl,"Lokasi strategis, lokasi depan jalan Pantura",,,positif
pantai lorena,Mantul,,,
gunung pegat,"Tempatnya bagus,bagus buat liat sunset,ada juga yg jualan sekarang,buat tempat foto"" jg oke,ada gazebonya juga,juga bisa buat tempat nge camp,tapi jalannya susah banget,berkelok"" sama nikung bgt",positif,positif,negatif
alun alun,"Arena fun sport spt stand walking byk yg rusak, track utk keseimbangan jg protol kabeh. Beberapa bagian tegel jg sdh pecah.
Lintasan trotoar utk tuna netra kurang dipedulikan, kadang terblok batu trotoar, lampu taman, atau parkiran penggowes.",,negatif,
pantai lorena,"Tempatnya cocok untuk menikmati syaduhnya ombak, dan gratis",positif,,
alun alun,Lumayan bagus buat bersantai dah spot foto. Bagian selatan bayar parkir nya 3k,positif,positif,
wbl,Tempat yang bagus untuk liburan bersama keluarga,positif,,
wego,"Asri banget, mumpung promo 20rb",positif,,
alun alun,love love love this place.,,,
wbl,Sarana wisata komplit wahana permainan jg zoo,positif,,
alun alun,"Bersih....sejuk...mantap
Wes poko'e megilan",,positif,
gunung pegat,Wisata baru tempatnya enak buat selfi liat sunrise sunset,positif,,
alun alun,Tempat yg menyenangkan untuk bersantai bersama keluarga.,positif,,
gunung mas mantup,"akses jalan masuknya jembatan sakit hati-nya kalo buat mobil sedan agak susah, harus kalem2",,,negatif
alun alun,"Tempatnya luas, sekoyar setengah hektar. Di lokasi terbagi menjadi beberapa bagian. Ada lapangan bola. Tempat bermain anak-anak, pendopo, taman dan ada pesawat terbang yg dipajang juga. Di sekitar alun alun berjejeran pedagang kali lima terdiri dari berbagai macam macam aneka makanan yg di sajikan tapi yg paling khas lamongan adalah sego boran adanya di pagi hari dan sore hari.",positif,,
pantai kutang,"Tempatnya oke, bisa diandalkan sebagai wisata lokal, tinggal jaga kebersihan saja dan fasilitas yg lebih memadai, seperti gubuk2",,negatif,
goa maharani,"Bismillah..yg punya anak kecil cocok ke tempat ini krn banyak binatangnya.bisa kasi makan jerapah,foto sama burung,ada bird show.bisa naik gajah tapi pas lg tutup pas kesini jd gabisa naik gajah.trs goanya masyaallah...bagus banget.musti seharian kalau ke tempat ini.toko oleh2nya jg harganya terjangkau,kaos2 25rban utk anak2.tempatnya sebrang WBL persis.jd isa dpt 2 t4 klo kesini.dan musti 2 hari yaa..biar puas mainnya.",,positif,
wbl,Petunjuk arah yang jelas dan mudah dipahami mempermudah perjalanan menuju wisata bahari Lamongan.,,,positif
alun alun,"banyak tempat bermain, belajar dan hiburan",positif,,
pantai lorena,"sangat mudah dijangkau karena berada di pinggir jalan raya, sehingga sangat cocok untuk dikunjungi oleh siapa saja",,,positif
alun alun,"Luas, bersih, rapi dan RAMAH ANAK .. Luar biasa..",,positif,
goa maharani,Goa maharani sudah lebih besar dan bersih,,positif,
alun alun,"Lokasi sudah lebih baik, tapi kalau malam alun-alun lebih gelap tidak seperti saat pembukaan",,negatif,
alun alun,Covok buat bersantai...cocok untuk semua usia...besar..kecil..tua n muda,positif,,
goa maharani,"Kebun Binatang Kecil tapi cukup bagus untuk menghabiskan waktu bersama anak-anak kita di sana. Memberi makan Jerapah dan Burung adalah kegiatan favorit saya di Kebun Binatang Maharani. Sesuatu yang sulit dilakukan di Kebun Binatang lain di Jawa Timur.
",positif,,
goa maharani,Keren tempatnya,positif,,
waduk gondang,Murah tiket parkirnya,,positif,
wbl,"Parkirannya sangat luas dan bersih tapi di dalam agak sedikit kotor,mungkin kemarin pas hujan apalagi kamar mandi dekat kolam anak.Karena sandal tidak di lepas maka lantai menjadi sangat kotor,dan pintu kamar mandinya pakai kain.",,negatif,
goa maharani,Bermain sambil belajar tentang binatang di sini..,positif,,
gunung mas mantup,Masih perlu banyak perbaikan dan tanda arah jalan karena dari luar ga keliatan ...modal gmap dan nekat  kemarin kesana,,,negatif
wbl,"Tempat bersih dan nyaman, beberapa wahana sedang dalam perbaikan tapi sangat respek karena hal tersebut menunjukkan pihak pengelola WBL peduli pada keselamatan pengunjung",positif,positif,
alun alun,"Tempat yg rocemended buat sekedar kumpul sama kluarga,anak2,jg teman fasilitas toilet,masjid sarana bermain anak2,dan aneka kuliner khas lamongan..wajib d coba",positif,positif,
pantai lorena,"Bersih, tidak ramai pengunjung, cocok untuk menikmati di pinggir pantai, kuliner enak dan murah",positif,positif,
pantai lorena,"Cukup menyenangkan bisa mampir di pantai ini. Anak-anak bisa menyewa serokan untuk menangkap ikan yg terjebak di karang, meskipun akan lebih baik jika ikan-ikan itu dibiarkan hidup lebih lama tanpa menangkapnya.

Banyak kelomang juga, Serta adabanyak penjual makanan dan minuman. Liburan murah bisa ke sini, tapi harus selalu mengawasi setiap langkah kaki, apalagi untuk anak-anak, harus didampingi oleh orang tua.",positif,positif,
alun alun,tempatnya rapih namun masih banyak yang buang sampah sembarang,,negatif,
wego,"Tempat edukasi untuk anak anak, kunjungi cenel YT Rodex Pro",positif,,
alun alun,"spot istirahat oke, banyak pilihan makan dan minuman,ada masjid agung lamongan dan pasar tingkat lamongan. Silahkan kalau mau mampir dan neduh sejenak maupun seenaknya, hehehe. ""WELCOME TO LAMONGAN MEGILAN""",,positif,
alun alun,"Sarana permaian gratis untuk warga Lamongan, walaupun banyak fasilitas yang telah rusak",,negatif,
pantai lorena,"Biasanya sering main kesana sama temen.
Pantainya bersih dan nyaman ",,positif,
gunung mas mantup, Memang tempatnya cukup bagus. Tapi sayang ga ada petunjuk jalan menuju ke lokasi. Jadi agak kesusahan cari tempatnya.,,,negatif
wbl,Akses ke wisata bahari Lamongan sangat mudah dijangkau karena berada di sepanjang jalan pantura,,,positif
pantai lorena,"Sejuk nyaman, cuma lokasi parkir nya yg kurang memadai",positif,negatif,
pantai lorena,dekat bersih,,positif,positif
goa maharani,mantap tp hewanya kurang banyak,negatif,,
alun alun,"Bersih banyak mainan buat anak""",positif,,
pantai lorena,"syahdu pantainya.. bisa lihat sun set, bisa tangkap ikan ketika laut surut",positif,,
wbl,Sip,,,
wego,jalan menuju wego kurang nyaman...,,,negatif
alun alun,Ramah anak,positif,,
goa maharani,"Kebun binatangnya bersih, terawat.. hewan nya juga gemuk²... Bisa ngasih makan hewan juga... Khususnya jerapah... Semua karyawan ramah",positif,positif,
alun alun,"Sdh bagus, perlu perbaikan sarana prasarananya",positif,negatif,
gunung mas mantup,"Di dalam area Istana Gunung Mas 27 mengusung nuansa Bali mulai pintu masuk hingga dalam area kawasan ini. Spot yang memanjakan mata di jembatan dengan penampakan banyaknya jenis ikan bahkan ada ikan lele, emas, dan koi dengan ukuran besar.  Disini banyak patung hewan yang bisa digunakan untuk berfoto-foto.",positif,,
alun alun,"Minus di tempat parkir, ada parkir di depan masjid aja, tempat cuci tangan kurang, kamar mandi bayar :(
",negatif,negatif,
pantai lorena,Hiburan murah meriah tanpa biaya bisa mengurangi kepenatan.,positif,,
gunung pegat,dtg pas pagi dan sore lihat sunrise dan sunset..cool,positif,,
pantai lorena,tempat yg santai,,,
alun alun,"Kalo sore banya orang joging dan olahraga, tempatnya sejuk dan rumayan asri",positif,,
goa maharani,Sangat menarik,positif,,
gunung pegat,"View malam bagus banget, sambil di temenin kopi sama mie",positif,,
alun alun,Tempatnya nyaman dan bersih...,,positif,
pantai lorena,Wisata pantai gratis,positif,,
gunung pegat,Sekarang aksesnya sudah enak.,,,positif
alun alun,wahana bermain seru untuk anak2 tempatnya bersih,positif,positif,
alun alun,"bagus luas, cocok buat bawa main anak² ada buat workout juga.",positif,,
alun alun,Bersih,,positif,
wego,Tempat asyiik & nyaman bt liburan bareng keluarga,positif,positif,
pantai kutang,"Pantai dekat dengan pemukiman penduduk pesisir pantai.
Harga tiket sangat murah.
Tempat yang bagus untuk bersantai dan berkibur bersama teman maupun keluarga.
Sanyangnya pantai tutup pukul setengah enam sore.",positif,,
wego, jalan nya sempit msh kurang petunjuk jalan dan sudah pd rusak semua,,,negatif
alun alun,Wisata keren sekali,positif,,
waduk gondang,Mantap dah..,,,
gunung pegat,Semoga kedepanya menjadi Wisata yg baik,,,
wbl,Tempatnya bagus,,,
alun alun,Tempat luas fasilitas umum banyak yang rusak,,negatif,
alun alun,"Sangat baik alon2 dijadikan tempat rekreasi kluarga, gratis  dan ada permainan ajak.
Yg penting pihak pemda dan pengunjung menjaga kebersihan, terutama toilet yg sudah bagus.
Sayangnya pas ada kumandang adzan magrib, baik laki maupun wanitanya masih bercengkerama.",positif,positif,
goa maharani,Tempat rekreasi ramah anak.. Koleksi satwa cukup banyak. Tempat bersih dan rapi,positif,positif,
alun alun,Taman hiburan keluarga yang sangat strategis di tengah kota,,,positif
waduk gondang,"Recommended buat sm keluarga, tp masuk ke dalamnya jauh bgt heheh, kamar mandinya airnya kotorr",,negatif,negatif
alun alun,"Strategis. banyak pedagang kaki lima, ada cafe juga. Bisa makan steak, pempek.. Macem2 deh...
Harga lumayan terjangkau juga di salah satu cafenya",,positif,positif
alun alun,"di alun"" sangat rame dan seru",positif,,
pantai lorena,"Semuanya oke, hanya saja kebersihannya perlu di jaga sehingga tidak terlihat kotor karena posisinya tepat di pinggir jalan sehingga mudah di jangkau",,negatif,positif
alun alun,Bersih rapih aman,,positif,
goa maharani,"Hewan konservasi tergolong lengkap, di masa pandemi seperti ini ada diskon yg lumayan untuk harga tiketnya",positif,,positif
alun alun,"Sekarang alun-alun lamongan nggak seperti dulu.. dulu ramai asik
Sekarang sepi nggk ada pa2 cuman dibaut tempat pacaran",negatif,,
waduk gondang,Suasana sejuk,positif,,
wbl,"Rekomended banget, sangat cocok untuk liburan keluarga , sekolah , ataupun kantor. Banyak wahananya. Dan harganya sangat murah.",positif,,
alun alun,Bersih tempatnya,,positif,
wego,Tempatnya enak,,,
alun alun,"Tempat nya bersih, tertata dgn baik, aman dan cukup luas.. ",,positif,
goa maharani,nyaman untuk anak2,,positif,
alun alun,Tempat yang cocok untuk bersantai bersama keluarga.,positif,,
alun alun,Bagus,,,
wbl,Rame,,,
pantai kutang,"Untuk rekreasi lokal sudah sangat baik, akses masuk lumayan baik jalannya, tiket pun murah hanya 5000 rupiah, lgsung melewati jembatan kayu diatas laut sejauh 430meter,  dg view untuk foto selfi tau kluarga amat baik, toilet pun bersih2 tarip 2000 .
Bisa mandi2 untuk anak ( dipandu orangtua tentunya).",positif,positif,positif
alun alun,Kurang permainan anak-anak jadi kurang menarik anak anak tidak betah,negatif,,
wbl,menarik banget.mainanya banyak sekali,positif,,
wbl,"
Seru banget tempatnya..
Cocok untuk anak2..
Terutama kolam renang yang jadi sasaran utama..
",positif,,
pantai kutang,"Pantai Utara dengan keindahan pasir putih  dan air biru kehijauan. Untuk menikmati pasir putih masuk ke lokasi lewat jembatan kayu dengan tiket 5k per orang dan itu worth it sekali.. sepanjang jembatan selfiable dan ada beberapa gazebo kecil untuk istirahat.
Akses ke lokasi mudah dan parkir luas tertata bgt. Kebersihan juga oke",positif,positif,positif
wego,Akses jalan yg kurang ok,,,negatif
pantai lorena,Air lautnya jernih,positif,,
wbl, ada bbrp tempat yg sepertinya kurang disukai pengunjung seperti diabaikan/terbengkalai tdk terawat seperti anjungan wali songo dan anjungan jenis2 serangga.,negatif,,
gunung pegat,"Wisata alam murah meriah ,pemandangan yg menyenangkan makin kesini semakin ramai semakin di kenal publik",positif,,
alun alun,tempatnya bagus bersih,,positif,
wego,"Salah satu wisata di kecamatan sugio, yg cocok utk berlibur anak anak...dan org tua.....wisata alam yg asri....silahkan di kunjungi.",positif,positif,
alun alun,"Khas dg nasi boran pinggir jalan nya, dg berbagai lauk sebagai pilihan yg murah meriah pasti nya",positif,,
goa maharani,"Tempatnya bagus banget.. Cocok buat anak""",positif,,
gunung mas mantup,"Tempat wisata bekas dari tambang material, jujur pertama kesini kaget dengan tiket seharga 10.000 dibanding wahana yg disediakan, tempat berteduh juga kurang",negatif,negatif,
waduk gondang,Wisata air n Bonbin mini murah meriah kabupaten Lamongan,positif,,
pantai lorena,Bagus,,,
wbl,Bagus tapi permainan nya sedikit,negatif,,
pantai kutang,"Akses jalan mulai bagus,perlu ditambah fasilitas kebersihan seperti tempat sampah dan perlu dijaga kebersihan area wisatanya",,negatif,positif
pantai lorena,Indah uapik keren,positif,,
pantai kutang,"Salah satu pantai yg bnyk pohon mangrove nya,bagus utk pilihan wisata di Jatim, namanya unik bukan berarti disana bnyk kutangnya lho",positif,,
pantai lorena,"Karena tempatnya di pinggir jalan raya, maka tempat ini sangat mudah dijangkau dan cocok untuk dikunjungi oleh siapa saja",,,positif
alun alun,"saya mencoba mencicipi kuliner khas lamongan yang banyak di jual di sekitar alun2 yakni nasi boran dan es siwalan.

Rasa dari kuliner ini cukup unik dan enak layak di coba",positif,,
pantai lorena,Pantai nya bagus,positif,,
waduk gondang,Pemandangan nya asri dan indah,positif,,
wego,Luar biasa,,,
waduk gondang,psatwa di waduk Gondang kian lama makin sedikit,negatif,,
pantai lorena,lumayan bersih dan destinasi wisata gratis,positif,,
wbl,Wahana yang menyenangkan,positif,,
alun alun,"Banyak permainan yang rusak, yang di burung dara lantainya banyak yang rusak jadi berbahaya bagi anak-anak
Masih kurang untuk dikatakan tempat ramah anak",,negatif,
goa maharani,Mantul..mantap betul,,,
alun alun,Rekomen bgt bagi yang gabut-gabut pengen duduk² santai. Atau para buibu yang mencari rekreasi murmer untuk anak-anaknya. Sekarang taman di lain alun semakin sedap di pandang. Jajanan - jajanan juga sudah ditertibkan jadi sudah tidak pusing lagi dengan PKL- PKL. tetap jaga kebersihan yaaa....,positif,positif,
pantai kutang,Pantainya bagus cm dibagian parkir masih banyak sampah di sana,positif,negatif,
gunung mas mantup,perlu di tambah beberapa fasilitas misal kereta gantung akan semakin menarik tempat ini,negatif,positif,
wego,Asri dan asyik untuk tamasya,positif,,
goa maharani,"Tempatnya adem, binatang nya jg banyak, bisa berinteraksi langsung pula, gak nyesel deh dateng kesini, sarana edukasi untuk anak2 kita",positif,,
wego,"Lumayan, tapi harganya cukup membuat kantong bolong. Padahal wahananya ya biasa aja tapi kok harganya mahal. Heran saya,kalau disuruh mengunjungi ini lagi mungkin saya akan menolak",negatif,,
waduk gondang,"Bagus cuma terkesan kotor, ada wahana baru G Park",positif,negatif,
goa maharani,"Bagus...tempatnya bersih, byk hiburan dan tempat bermain, pingin ke sana lg..",positif,positif,
pantai lorena,Cocok untuk wisata keluarga,positif,,
waduk gondang,Wisata untk keluarga,positif,,
alun alun,Setahun lebih gak ke alun-alun. Ketika kesini lagi sudah banyak berubah. Lebih bagus dan lebih menyenangkan. ,positif,,
goa maharani,"Dulu hanya wisata goa saja, skrg udah ada hewannya",positif,,
waduk gondang,"Bagus, banyak kemajuan dan lagi G Park segera dibuka",positif,,
gunung pegat,Siiippp..,,,
gunung mas mantup,Bagus,,,
pantai kutang,"Pantai lumayan bersih, puas rasanya bisa melihat laut lepas. Cukup ramai waktu saya ke sana shg bs meningkatkan ekonomi masyarakat sekitar.",positif,positif,
wbl,Banyak wahana,positif,,
goa maharani,"Harga terjangkau, cocok untuk liburan bersama keluarga",,,positif
alun alun,Sangat menarik,positif,,
alun alun,"Untuk tempat publish setidaknya di samping alun"" terdapat jajanan yg bisa memanjakan para pecinta kuliner ...",,positif,
wbl,"Wisata yg sangat menarik..apalagi buat anak2 kecil. Saran untuk penyajian makanan panas jangan memakai sterefon,kurang sehat..",positif,negatif,
alun alun,Tempatnya nyaman. Cocok buat maen sama keluarga dan teman.,positif,,
alun alun,"Meskipun tiap hari bermain di alun"" gk akan pernah bosan....banyak sekali permainan nya ...ak suka",positif,,
waduk gondang,jalan utama sangat jauh jalan masuknya banyak hutan hutan jadi dan jadi kalau mau kesini pastiin BBM penuh ya soalnya belum ada pom bensin,,,negatif
wbl,"Ada beberapa petunjuk arah yang terpasang di sepanjang jalan menuju ke wisata bahari, sehingga pengunjung tidak akan kesulitan untuk menemukannya.",,,positif
gunung mas mantup,coba kasih kolam renang...pasti tambah rameh...karena yg dituju anak kecil biasanya kolam renang,negatif,,
wego,Kolam renangnya oke,,positif,
wbl,"makanan foodcourtnya enak , murah , rasanya masih aman gakaya tempat wisata lain. pusat oleh2 jg masih manusiawi harganya. tapi sayang pantainya gabisa buat kecek2",,positif,
gunung mas mantup,"pintu keluar masuk buat mobil pas banget sempit jd harus gantian jika masuk, tidak ada petunjuk arah.",,,negatif
waduk gondang,"Tdk ada yg menarik,  Lokasi nyelinep dipedesaan akses jalan kurang nyaman",negatif,,negatif
pantai kutang,Mantul tempatnya. Banyak kedai kedai di pesisirnya. Tempat neduhnya juga banyak. Kebersihan agak lumayan bersih. Biaya masuknya murah dan khusus warga labuhan free. Jadi mantul. Jembatanya juga bagus warna warni kek pelangi hahahaaa,positif,positif,
alun alun,"Tempat bersih, tertata rapi, dekat masjid",,positif,
gunung pegat,Monggo para pegowes mampir saja di warung kebon ace dg sajian menu yg lengkap murah dn meriah...,,positif,
alun alun,Menyenangkan dan tempat nya bagus cocok untuk anak2 dan anak muda2,positif,,
alun alun,"agak susah cari toilet karna ditutup, sayang pas kesana wahananya ditutup agak kecewa sih tapi ya sudah",negatif,negatif,
pantai lorena,Adem guyss,,,
waduk gondang,"Waduk Gondang adalah sebuah waduk yang ada di Kabupaten Lamongan, Provinsi Jawa Timur, Indonesia.  Waduk Gondang tepatnya terletak 19 km arah barat Kabupaten Lamongan. Untuk menuju lokasi ini selain dapat ditempuh dengan kendaraan pribadi dapat juga menggunakan angkutan umum dari Lamongan menuju Gondang.",,,positif
wbl,"Pertama kali ke sini bersama keluarga,, anak² sangat antusias untuk menikmati setiap wahana yg tersedia. Dan yg tak kalah penting adalah toilet dan foodcourt lumayan banyak, sehingga kita ga binggung untuk mencari kedua tempat tersebut.",positif,positif,
wego,Kreatif,,,
wbl,Wahananya seru2 dan pemandangan pantainya indah. Tiket lebih murah saat weekdays,positif,,
alun alun,Alun alun bersih ok,,positif,
alun alun,"Tempat yang cocok untuk refreshing bersama anak anak, dekat Masjid, dekat pasar, dekat jualan camilan",positif,positif,
gunung pegat,Naik gunungnya capek tapi pas di atas sangat menyenangkan pemandangan nya indah dan bayak tempat fotto,positif,,
pantai kutang,Liburan seru bersama keluarga dgn tiket murah dan harga makanan/minuman yg wajar,,positif,
alun alun,"Tempat yang asyik untuk istirahat sejenak  tempatnya luas banyak wahana anak. Melipir disekitar alun-alun dan masjid bisa menikmati makanan khas Lamongan, ada soto, tahu campur, tahu tek, lalapan sampai bakso. Semua nya ada, just info untuk bianglala nya free cuma ada jadwalnya jadi usahakan pas jadwal ya",positif,positif,
goa maharani,Tempat wisata+edukasi,positif,,
gunung mas mantup,Bagus dn nyaman untuk anak2 buat foto2,positif,positif,
goa maharani,"Lokasi di lamongan utara
Dengan koleksi satwa yang cukup banyak dan bermacam
Lokasi dekat dengan wisata WBL",positif,,positif
alun alun,"Tempatnya bagus, bersih, udara sejuk, banyak mainan cocok untuk wisata bareng temen atau kluarga. Wisata hemat heheh..",positif,positif,
wbl,Cocok untuk anak-anak dan dewasa,positif,,
gunung pegat,Semoga semakin maju,,,
wbl,bagus sekali . banyak wahana mainan. makanan enak enak,positif,positif,
wbl,Banyak wahana anak anak  senang,positif,,
goa maharani,"Hi para petinggi lamongan Jatim, saya lihat di beberapa video terdapat Macan yg tidak diberi makan hingga terlalu kurus, tolongg agar pemilik dan management nya ditindak lanjuti. Saya sedih bgt melihatnya",negatif,,
alun alun,banyak juga yg rusak..,,negatif,
alun alun,Tempatnya bersih terawat dan banyak wahana mainan untuk anak-anak. Yang pastinya harus diawasi orang dewasa atau orang tua,positif,positif,
pantai lorena,Cukup bagus....,,,
alun alun,"Alun alun lumayan luas, ada tempat bermain untuk anak anak , banyak orang berjualan makanan tradisional, seperti petulo, es dawet, putu ayu. Soto Lamongan ,bagi kaum muslimin muslimah disebelah barat alun alun ada masjid jami'suasana sejuk dan sangat religi",positif,,
gunung pegat,Lokasi Gunung Pegat mudah dijangkau berkat akses jalannya yang bagus,,,positif
alun alun,"Tempat hiburan rakyat yg murah meriah untuk bersantai dengan keluarga ditengah kota lamongan, tempat ini juga dilengkapi bianglala yg gratis untuk semua",positif,,
gunung pegat,"Bagus view nya, dari atas kita bisa melihat pemandangan kota dibawahnya, tapi jalan disana cukup menanjak, jadi hati2 ya klo naik kesana",positif,,
waduk gondang,"Destinasi wisata alam Murah dan apa adanya saja
Tiket masuk Rp 6.000 / Orang (Sepeda motor)
Parkir mobil lumayan luas, parkir motornya sembarangan.
ada mini zoo nya (Monyet, Ular, Burung)
ada tempat bermain anak-anak,
tempatnya sangat teduh dan rindang,
banyak pedagang makanan dan minuman",,positif,
wego,"Tempat WEGO yg terletak di pinggir jalan rayapun tidak susah untuk mencarinya. Kalau di Lamongan jangan lupa untuk mengunjungi WEGo guys.
Salam asik travelling",,,positif
pantai lorena,Asyik pemandangan ne...,positif,,
alun alun,"Tempatnya luas, ramah anak n yg jelas menyenangkan bagi keluarga...",positif,,
gunung pegat,top,,,
wbl,Wisata yg sangat bagus buat keluarga...harga yg terjangkau...pokoknya top .....tempatnya bersih...,positif,positif,
wego,perlu alat transportasi untuk mereka yang kesulitan jalan atau kakinya agak sakit,,,negatif
pantai kutang,"pantai kutang ini keren indah nya buat foto"" cari view nya bagus",positif,,
alun alun,Alun alun lamongan...berada d tengah2 kota lamongan... Alun alun lamongan identik dengan salah satu wisata kulinernya yaitu nasi boran.... Alun alun lamongan salah satu tempat nongkrong muda mudi....alun alun,positif,,
gunung mas mantup,Spot wisatanya sudah bagus...penataan layout sdh bagus...cuman akses jalan masuknya yg masih butuh perhatian...masih makadam...dan perlu adanya penunjuk arah jalan masuk,positif,,negatif
goa maharani,"Anak-anak suka melihat gua alam di mana Anda dapat melihat kelelawar dan berbagai binatang.
Agak sulit karena jaraknya dua jam dari Surabaya.",positif,,negatif
gunung pegat,Harapan saya... Di fasilitasi musholla/masjid agar nantinya pengunjung lebih nyaman. Pokoknya maju jaya terus lurrr...,,negatif,
goa maharani,Tempat asik buat liburan keluarga,positif,,
alun alun,Permainan tdk safety sama skali..perlu baikan,negatif,,
wego,"Rame banget pas libur tahun baru
Tempat sejuk dan bersih.
Cocok buat liburan keluarga",positif,,
waduk gondang,Bagus,,,
gunung pegat,Akses jalan ke Gunung Pegat yang semakin membaik membuat perjalanan semakin lancar,,,positif
wbl,Selalu ramai,,,
gunung pegat,Cakep pemandangannya,positif,,
wbl,Tempat yang seru dan menyenangkan,positif,,
