objek wisata,ulasan,atraksi1,atraksi2,atraksi3,amenitas1,amenitas2,amenitas3,aksesibilitas1,aksesibilitas2,aksesibilitas3,hasil atraksi,hasil amenitas,hasil aksesibilitas
alun alun,Semakin bersih,,,,positif,positif,positif,,,,,positif,
alun alun,Bagus & bersih,,,,positif,positif,positif,,,,,positif,
alun alun,Sangat bersih dan tertata rapi,,,,positif,positif,positif,,,,,positif,
alun alun,Bersih,,,,,positif,positif,,,,,positif,
alun alun,Bersih nyaman,,,,positif,positif,positif,,,,,positif,
alun alun,Bersih dan asri,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Bersih dan tertib,,,,,positif,positif,,,,,positif,
alun alun,Bersih nyaman,,,,positif,positif,positif,,,,,positif,
alun alun,Alun alunnya bersih tertata dengan rapi,,,,positif,positif,positif,,,,,positif,
alun alun,Bersih dan bagus,,,,positif,positif,positif,,,,,positif,
alun alun,Bagus dan bersih.,,,,positif,positif,positif,,,,,positif,
alun alun,Nyaman dan bersih,,,,positif,positif,positif,,,,,positif,
alun alun,"Bagus, bersih",,,,positif,positif,positif,,,,,positif,
alun alun,Bagus bersih juga,,,,positif,positif,positif,,,,,positif,
alun alun,bersih tapi bagus,,,,positif,positif,positif,,,,,positif,
alun alun,Alun alun bersih ok,,,,positif,positif,positif,,,,,positif,
alun alun,Tempanya nyaman dan bersih,,positif,,positif,positif,positif,,,,,positif,
alun alun,Bersih,,,,,positif,positif,,,,,positif,
alun alun,"Nyaman, asri dan bersih",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"bersih ,rapi tempatx",,,,positif,positif,positif,,,,,positif,
alun alun,Bersih dan nyaman,,positif,,positif,positif,positif,,,,,positif,
alun alun,Tertib dan bersih,,,,,positif,positif,,,,,positif,
alun alun,Bersih nyaman,,positif,,positif,positif,positif,,,,,positif,
alun alun,Bersih,,,,positif,positif,positif,,,,,positif,
alun alun,bersih dan rrapi,,,,,positif,positif,,,,,positif,
alun alun,Bersih nyaman,,,,positif,positif,positif,,,,,positif,
alun alun,Bagus bersih dan indah,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Bersih, dan bagus",,,,positif,positif,positif,,,,,positif,
alun alun,Indah bersih,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Bersih...
Asri",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Bersih rapi,positif,,,positif,positif,positif,,,,,positif,
alun alun,Bersih dan rapi,,,,,positif,positif,,,,,positif,
alun alun,sangat bersih,,,,positif,positif,positif,,,,,positif,
alun alun,Bersih,,,,positif,positif,positif,,,,,positif,
alun alun,Bersih rapih aman,,,,positif,positif,positif,,,,,positif,
alun alun,Bersih tempatnya,,,,positif,positif,positif,,,,,positif,
alun alun,Bersih dan asri,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Rapi, bersih",,,,positif,positif,positif,,,,,positif,
alun alun,Bersih asri...,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Bersih,,,,positif,positif,positif,,,,,positif,
alun alun,Bersih dan indah,,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Asri,bersih",positif,positif,positif,,positif,positif,,,,positif,positif,
alun alun,bersih,,,,,positif,positif,,,,,positif,
alun alun,Bersih tempatnya gak rame juga,,,,positif,positif,positif,,,,,positif,
alun alun,Nyamann bagus bersih sejukk,,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Taman yang luas dilengkapi aneka permai an Dan beberapa koleksi hewan. Toilet tersedia. Disekitar bisa ditemui makanan Dan minuman.,,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Lumayan ramai, aman tuk anak kecil, makanan sekitar relatif murah",,,,positif,positif,positif,,,,,positif,
alun alun,"Tempatnya asri, cocok dibuat jogging+nyari jajan. ",positif,positif,positif,,,,,,,positif,,
alun alun,"Tempat nyaman, tempat olahraga raga dan banyak makanan khas Kota Lamongan",,positif,,positif,positif,positif,,,,,positif,
alun alun,"Banyak wahana bermain anak, banyak spot foto, banyak penjual makanan disekitarnya juga",positif,,positif,,positif,positif,,,,positif,positif,
alun alun,"Menarik sih, banyak makanan dan baju² tapi mereka dikelompokkan",positif,positif,positif,,positif,,,,,positif,,
alun alun,"Tempat berburu wifi gratis, banyak jualan dari makanan sampai bebajuan",,,,positif,positif,positif,,,,,positif,
alun alun,tmepat santai untuk kumpul keluarga banyak orang jualan makanan,positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Asyik, banyak yang jual makanan",,positif,,,positif,positif,,,,,positif,
alun alun,"Makanan khas Lamongan ""Sego Boran"" mantaap",positif,positif,positif,,,,,,,positif,,
alun alun,Alun2 banyak makanan,,,,,positif,positif,,,,,positif,
alun alun,DI SINI FAVORIT MAKANAN SAYA,,,,,positif,positif,,,,,positif,
alun alun,Cukup lumayan...nyantai  makan bareng bersama keluarga,,,,positif,positif,positif,,,,,positif,
alun alun,"Tempatnya bagus,ada ciri khas Sego boranan.",positif,positif,positif,,,,,,,positif,,
alun alun,Kalau hati libur selalu kesini bawa beras... agar sikecil bisa kasi makan burung dara disana...,,positif,positif,,,,,,,positif,,
alun alun,"Mantap makan di sini,masakan e enak,harga ramah di kantong.",,,,positif,positif,positif,,,,,positif,
alun alun,Tempat orang cari makan khas nasi barong,,,,,positif,positif,,,,,positif,
alun alun,Makan malam nya di sini saja,,,,,positif,positif,,,,,positif,
alun alun,"Sangat rindang pepohonannya, sayang hanya kurang tertata dengan rapi pedagang di sekeliling alun alun",positif,positif,positif,,negatif,negatif,,,,positif,negatif,
alun alun,Ga seramai dulu.. mungkin karena Corona,,negatif,negatif,,,,,,,negatif,,
alun alun,Semoga segera dibuatkan foodcourt biar kalo jajan gak perlu riwa riwi nyebrang heheh,,,,positif,negatif,negatif,,,,,negatif,
alun alun,"Untuk tempat publish setidaknya di samping alun"" terdapat jajanan yg bisa memanjakan para pecinta kuliner ...",,positif,,,positif,positif,,,,,positif,
alun alun,"Bagus, ada bianglalanya klo pas cfd banyak jajanan streetfood",,positif,positif,,positif,positif,,,,positif,positif,
alun alun,"Luas....bannyak hiduran untuk masyarakat,kuliner khas dijajakan lesehan",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Bagus ada permainan anak,,positif,positif,,positif,,,,,positif,,
alun alun,tempat y lumayan bagus dn adem.jg ada permainan anak2.,positif,positif,positif,positif,positif,,,,,positif,positif,
alun alun,Tempat yg menyenangkan bnyk permainan anak gratis.. Lebih seneng lg karna bnyk burung dara yg terbang bebas menambah asri alami,positif,positif,positif,,positif,,,,,positif,,
alun alun,Ada permainan anak2 nya,positif,,positif,,positif,,,,,positif,,
alun alun,"Ada penambahan wahana bermain yang baru yaitu bianglala makin menambah referensi permainan, sehingga semakin banyak pilihan bagi para pengunjung",positif,positif,positif,,,,,,,positif,,
alun alun,"Cocok untuk tempat bermain anak"" karna banyak beragam permainan mulai dari prosotan,ayunan dsb",,positif,positif,positif,,,,,,positif,,
alun alun,sayang bnyk peralatan permainan juga olahraga yg sdh rusak tp tdk trkondisikan,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,sekarang permainan anak-anak banyak yang rusak.,,,,,negatif,negatif,,,,,negatif,
alun alun,Alun alun ini sangat bagus tempatnya sejuk dan indah,,positif,positif,,,,,,,positif,,
alun alun,Banyak alat permainan yg rusak bahaya buat anak kecil,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Banyak permainan untuk anak2.,positif,positif,positif,,,,,,,positif,,
alun alun,"Sdh bagus, perlu perbaikan sarana prasarananya",,positif,positif,negatif,negatif,negatif,,,,positif,negatif,
alun alun,"biasa aja ga ada yang menarik, bianglalanya juga jarang diaktifin",negatif,negatif,negatif,,negatif,,,,,negatif,,
alun alun,bnyak permainan dan hiburan..,positif,positif,positif,,,,,,,positif,,
alun alun,Kalau bisa permainan di tambah buat anak anak,negatif,negatif,negatif,,,,,,,negatif,,
alun alun,Tempatnya nyaman ramah anak banyak permainan untuk anak,,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Bagus bnyk permainan untuk anak2,positif,positif,positif,,,,,,,positif,,
alun alun,Luas dan banyak permainan anak-anak,positif,positif,positif,,,,,,,positif,,
alun alun,makin nyaman dan banyak permainan,,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Banyak permainan,positif,,positif,,positif,,,,,positif,,
alun alun,"Terdapat permainan, cocok untuk anak-anak, terdapat tempat yang sejuk, lapangan basket dan lain-lain.",positif,,positif,,positif,,,,,positif,,
alun alun,Ramai banyak permainan,,positif,positif,,,,,,,positif,,
alun alun,Tiket parkir mahal+wifi eror,,,,,negatif,negatif,,,,,negatif,
alun alun,Jukir mantab krn karcisnya ditulis nopol tp knp tarifnya mahal sperti harga parkir dimall...,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Tempat terbaik untuk menikmati malam Minggu, bisa parkir mobil di halaman kantor dinas,",,positif,,positif,positif,positif,,,,,positif,
alun alun,Bingung cari tempat parkir mobil kalo disekelilingnya udah penuh. Ada ferris wheel udah kayak alun alun batu,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Setelah berkendara jauh kami bisa istrhat disini dengan santai, parkiran aman juga",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Udah bagus tapi masih banyak yang buang sampah sembarangan,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Semakin baik drpd sebelum2nya... Namun sayang kdg2 msh menemukan sampah berserakan...,,,,positif,negatif,negatif,,,,,negatif,
alun alun,tolong ditambahi lagi tempat sampahnya,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,tempatnya rapih namun masih banyak yang buang sampah sembarang,positif,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Bagus hanya saja tolong pengunjung jangan buang sampah sembarangan. Sudah di sediakan tempat sampah dimana mana.,,positif,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Kalo pagi sampe sore sih disini terlihat bagus, tapi kalo udah malem kelihatan kumuh & agak horror, karena beberapa lampu taman ada yang tidak dinyalakan (yang lagi dimabuk asmara sih OKaja mungkin yaa  )
Tapi lumayan lah untuk tempat bermain anak
Bianglalanya selama ini belum terlihat berfungsi..",positif,positif,positif,negatif,negatif,negatif,,,,positif,negatif,
alun alun,"Alun alunnya nyaman, banyak tempat untuk pengunjung duduk santai... Sangat tertata rapi, bersih dan benar benar bisa dijadikan tempat melepas lelah... Banyak penjual kaki lima di sekitar alun alun, menambah kenyamanan publik dalam memanfaatkan fasum ini. Disediakan juga area bermain anak seperti roda putar yg dihias lampu led,menambah keindahan alun alun lamongan. ",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Tempat yang pas untuk keluarga main kalau malam minggu.,,positif,positif,positif,,,,,,positif,,
alun alun,Tempatnya aman dan nyaman buat rekreasi bareng keluarga karna tempat penjualanya sudah diatur,,,,positif,positif,positif,,,,,positif,
alun alun,"Bagus dan rama penduduk, saya suka kalok minggu pagi ke alun-alun lamongan",positif,positif,positif,,,,,,,positif,,
alun alun,Tempat yg bagus untuk mengajak keluarga,positif,positif,positif,,,,,,,positif,,
alun alun,Luas nyaman,,,,positif,positif,positif,,,,,positif,
alun alun,Bagus untuk jalan 2,positif,positif,positif,,,,,,,positif,,
alun alun,Alun-alun yang merupakan jantung kabupaten Lamongan semakin mempesona. Jajaran Taman dan Air mancur serta trotoar yang lebar membuat nyaman untuk dijadikan tempat berkumpul diluar ruangan,positif,positif,positif,,,,,,,positif,,
alun alun,"Air mancur nya kotor gk dibersihin, banyak tikus yg berenang",,,,negatif,negatif,negatif,,,,,negatif,
alun alun,Sarana prasarana nya di benahi lagi..Air mancur yg sebelah selatan mati Biang Lala juga mati,,,negatif,negatif,negatif,negatif,,,,,negatif,
alun alun,biasanya kesini pagi buat lari-lari dan paling enak hari minggu karena banyak banget yg jualan juga,,positif,positif,positif,,positif,,,,positif,positif,
alun alun,Klo Minggu pagi rame...,,,,,,,,,,,,
alun alun,"Bersih dan tertata rapi, cocok buat olahraga pagi atau sore hari",,,,positif,positif,positif,,,,,positif,
alun alun,"Menaiki wahana berputar raksasa ini jadi salah satu kegiatan favorit di Alun-Alun Lamongan. Dari ketinggian, pengunjung bisa melihat pemandangan Kota Lamongan sejauh nyaris 360 derajat. Jika berkunjung kemari, jangan sampai melewatkan naik salah satu ikon kota ini, ya!",positif,positif,positif,,positif,,,,,positif,,
alun alun,"Tempat hiburan rakyat yg murah meriah untuk bersantai dengan keluarga ditengah kota lamongan, tempat ini juga dilengkapi bianglala yg gratis untuk semua",positif,positif,positif,,,,,,,positif,,
alun alun,"Alun alun lamongan semakin baik buat tempat rekereasi. Ada bianglala, tempat olahraga dll dan Dekat dengan masjid agung lamongan serta dekat dengan pujasera kantor pos.",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Tempatnya bagus, ada bianglala dan tempat bermain khusus anak-anak. Saat malam hari, ada pasar malam di sekitar alun-alun",positif,positif,positif,,,,,,,positif,,
alun alun,"Salah satu icon kota kebanggaan Lamongan, dengan dibangunnya bianglala dan taman yg indah membuat daya tarik warga Lamongan serta warga luar Lamongan untuk datang mengunjunginya",positif,positif,positif,,,,,,,positif,,
alun alun,"Tempat hiburan keluarga tanpa biaya, ruang hijau, dan ada yg baru yaitu ada bianglala",positif,positif,positif,,,,,,,positif,,
alun alun,"tempatnya sekarang bagus ada bianglala, family friendly",positif,positif,positif,,,,,,,positif,,
alun alun,bianglalanya ga pernah hidup lagi,,negatif,negatif,,,,,,,negatif,,
alun alun,Hiburan bianglala gratis.. Tis.. Tis,positif,positif,positif,,,,,,,positif,,
alun alun,Bianglala Lamongan,,positif,positif,,,,,,,positif,,
alun alun,"Bagus apalagi kalo bianglalanya muter, gratis naik bianglala.",positif,positif,positif,,positif,,,,,positif,,
alun alun,"Lokasi sudah lebih baik, tapi kalau malam alun-alun lebih gelap tidak seperti saat pembukaan",,,,,negatif,negatif,,positif,,,negatif,
alun alun,Masih banyak yang gelap,,,,negatif,negatif,negatif,,,,,negatif,
alun alun,"Tempat hiburan mulai anak-anak sampai orang tua bs bersantai, berolahraga dll. Ditunjang dg prasarana yg memadai, dekat dg masjid agung Lamongan juga,wes pokoke Josh",positif,positif,positif,,positif,positif,,,,positif,positif,
alun alun,"tempatnya rapi, bersih, luas...nyaman .
hiburan murah meriah untuk keluarga . dekat dengan masjid juga tempat kuliner.
nice ",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Tempat luas,bersih,komplit,ada taman bermain,dekat masjid,dan kuliner,yang paling menarik bianglalanya free",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Banyak wahana main di taman spt ayunan, perosotan, jungkat-jungkit, peralatan olahraga, air mancur, bianglala, sarang burung, dsb ",positif,positif,positif,,,,,,,positif,,
alun alun,"Tempatnya bersih, sejuk dan nyaman dekat dengan masjid agung, banyak wahana untuk anak-anak bermain",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Dekat dg masjid agung lamongan, banyak permainannya, dan juga ada komedi putar gratis, cukup antri saja. hehehehe",positif,,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Tempat yang cocok untuk refreshing bersama anak anak, dekat Masjid, dekat pasar, dekat jualan camilan",,positif,positif,positif,,positif,,positif,,positif,positif,
alun alun,Nyaman buat anak kecil betah berjam-jam disana. Banyak tempat yang terpadu tidak terpisah terlalu jauh,,,,positif,positif,positif,,,,,positif,
alun alun,"… Yg penting pihak pemda dan pengunjung menjaga kebersihan, terutama toilet yg sudah bagus. …",positif,,,,positif,positif,,,,,positif,
alun alun,Bagus skrg tertata dg rapi....paling bagus utk menghabiskan minggu pagi dg keluarga dan anak2 karna banyak mainan anak dan area yg luas \,positif,positif,positif,,,,,,,positif,,
alun alun,"Tempatnya bagus, bersih dan rindang.. Nyaman buat kumpul sama temen atau keluarga",,,,positif,positif,positif,,,,,positif,
alun alun,"Tempat wisata yang murah dan gratis, fasilitas lengkap, cocok menghabiskan waktu bersama keluarga",positif,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,"Tempat yg nyaman untuk bersantai bersama anak-anak dan keluarga,banyak arena bermain anak yang gratis, kulinernya banyak dan beragam",,positif,positif,positif,positif,positif,,,,positif,positif,
alun alun,Tempatnya nyaman. Cocok buat maen sama keluarga dan teman.,,positif,positif,positif,,,,,,positif,,
alun alun,Cukup Bagus buat hiburan bersama keluarga,positif,positif,positif,,,,,,,positif,,
alun alun,Tempat yg nyaman untuk tamasya keluarga,,positif,positif,positif,,,,,,positif,,
alun alun,Alun alun kota Lamongan memang menyimpan banyak kenangan apalagi sekarang sangat elok cocok untuk rilek bersama keluarga dan teman,,positif,positif,,,,,,,positif,,
alun alun,Tempat yg menyenangkan untuk bersantai bersama keluarga.,positif,positif,positif,positif,,,,,,positif,,
alun alun,cocok untuk rekreasi keluarga,,positif,positif,positif,,,,,,positif,,
alun alun,Bagus buat refreshing bersama keluarga,,positif,positif,positif,,,,,,positif,,
alun alun,"Tempat maen utk keluarga, khusus.nya anak-anak..
Cocok utk di Kota Lamongan..",,positif,positif,positif,,,,,,positif,,
alun alun,Sangat enak untuk bersantai sama keluarga terutama anak anak,,positif,positif,positif,,,,,,positif,,
alun alun,Saya sering bermain bersama keluarga di alun alun lamongan,,positif,positif,positif,,,,,,positif,,
alun alun,Bagus untuk wisata keluarga,positif,positif,positif,,,,,,,positif,,
alun alun,Alun-alun tempat rekreasi keluarga yg murah meriah.,,positif,positif,positif,positif,,,,,positif,positif,
alun alun,Sangat bagus dan recommended buat ajak main keluarga,,positif,positif,positif,,,,,,positif,,
alun alun,"Cocok buat rehat, santai bersama keluarga, temen, pacar.",positif,positif,positif,,,,,,,positif,,
alun alun,Cocok untuk ngajak anak2 dan keluarga,,positif,positif,positif,,,,,,positif,,
alun alun,Terawat bisa buat nyante kumpul2 brng teman / keluarga,,positif,positif,positif,positif,,,,,positif,positif,
alun alun,Bagus nyaman buat liburan keluarga,,positif,positif,positif,,,,,,positif,,
alun alun,Cocok untuk rekreasi bersama keluarga,,positif,positif,positif,,,,,,positif,,
alun alun,Temptnya bagus buat liburan keluarga..,,positif,positif,positif,,,,,,positif,,
alun alun,"
Khas dari kota Lamongan , Adalah Nasi Boran ",positif,positif,positif,,,,,,,positif,,
alun alun,"Khas dg nasi boran pinggir jalan nya, dg berbagai lauk sebagai pilihan yg murah meriah pasti nya",positif,positif,positif,,,,,,,positif,,
alun alun,Alun alun lamongan...berada d tengah2 kota lamongan... Alun alun lamongan identik dengan salah satu wisata kulinernya yaitu nasi boran.... Alun alun lamongan salah satu tempat nongkrong muda mudi....alun alun,positif,positif,positif,,,,,,,positif,,
alun alun,Tempat yg bersih dan buat refreshing serta penjual nasi boran khas lamongan berjejer dgn senyum ramah menyapa... Tempat yg harus disinggahi ya bro...,positif,positif,positif,,,,,,,positif,,
alun alun,Jangan lupa kalau ke Lamongan mampir di alun alun dan makan nasi boran khas lamongan...enak rek...,positif,positif,positif,,,,,,,positif,,
alun alun,Aloon Aloon Kabupaten Lamongan adalah sebuah taman kota yang berada di pusat kota Lamongan serta banyak juga orang yang berjualan makanan khas Lamongan seperti Nasi Boran,positif,positif,positif,,,,,,,positif,,
alun alun,"saya mencoba mencicipi kuliner khas lamongan yang banyak di jual di sekitar alun2 yakni nasi boran dan es siwalan.

Rasa dari kuliner ini cukup unik dan enak layak di coba",positif,positif,positif,,,,,,,positif,,
alun alun,Nasi sego Boran sip....khas banget rasanya,positif,positif,positif,,,,,,,positif,,
alun alun,"Banyak yang jual nasi boran.. 10 ribu  dapet lauk ayam, sate jeroan, gimbal, peyek",positif,positif,positif,,,,,,,positif,,
alun alun,Kesini cari nasi boran,positif,positif,positif,,,,,,,positif,,
alun alun,"Alun-Alun kota Lamongan merupakan Alun-Alun yang berada di Lamongan dengan banyak fasilitas umum seperti tempat bermain anak-anak, taman, dan di sepanjang jalan Alun-Alun banyak pedagang kaki lima yang menjual makanan khas Lamongan seperti sego boran atau nasi boranan, tahu campur, bendeng calo, es siwalan dan banyak lainnya.",positif,positif,positif,,,,,,,positif,,
alun alun,"Tempatnya luas, sekoyar setengah hektar. Di lokasi terbagi menjadi beberapa bagian. Ada lapangan bola. Tempat bermain anak-anak, pendopo, taman dan ada pesawat terbang yg dipajang juga. Di sekitar alun alun berjejeran pedagang kali lima terdiri dari berbagai macam macam aneka makanan yg di sajikan tapi yg paling khas lamongan adalah sego boran adanya di pagi hari dan sore hari.",positif,positif,positif,,,,,,,positif,,
alun alun,"Alun-alun lamongan sedang berbenah dan dipercantik, sehingga masih terlihat kotor dan banyak bongkaran material. Disekitar area alun-alun, banyak warung nasi boran, kuliner khas lamongan. Wajib dicoba kalo sedang disini.",positif,positif,positif,,,,,,,positif,,
alun alun,tiap weekend gak pernah sepi. aneka mainan anak jg tersedia di kelilingi penjual nasi boran,positif,positif,positif,,,,,,,positif,,
alun alun,Alun-alun lamongan terletak ditengah kota Lamongan. Disini banyak sekali ragam makanan jawa timur khususnya makanan khas lamongan yaitu sego boran. Selain itu aneka permainan anak juga ada. Biasanya alun-alun ini digunakan untuk berkumpul bersama keluarga atau teman-teman.,positif,positif,positif,,,,,,,positif,,
alun alun,Tempat nongkrong kalo sore.biasanya banyak yg jual boran disini makanan khas lamongan,positif,positif,positif,,,,,,,positif,,
alun alun,Mangan nasi boran disini wenak...,positif,positif,positif,,,,,,,positif,,
alun alun,Alaun alun ini adalah titik nol kota lamongan. Di sini paling terkenal makanan nasi boran yang di jual para ibu2 di sekitaran  alun alun,positif,positif,positif,,,,,,,positif,,
alun alun,"Kalau ke alun alun kota Lamongan, yang saya ingat pasti nasi boran nya...",positif,positif,positif,,,,,,,positif,,
alun alun,persis depan alun2 lamongan bisa langsung duduk makan nasi Boran,positif,positif,positif,,,,,,,positif,,
alun alun,"Paling suka kalo ke lamongan,mampir beli nasi boran kalo ke alun alun lamongan",positif,positif,positif,,,,,,,positif,,
alun alun,"Makanan khas Lamongan ""Sego Boran"" mantaap",positif,positif,positif,,,,,,,positif,,
alun alun,Jangan lupa makan khas lamongan nasi Boran,positif,positif,positif,,,,,,,positif,,
alun alun,Tempat nongkrong dan makanan rakyat nasi boran,positif,positif,positif,,,,,,,positif,,
alun alun,Tempat kuliner khas lamongan nasi boran,positif,positif,positif,,,,,,,positif,,
alun alun,Kalau kesini yg pasti nyari sego boran,positif,positif,positif,,,,,,,positif,,
alun alun,"Melipir jalan2 disekitar alun-alun dan masjid bisa menikmati makanan khas Lamongan, ada soto, tahu campur, tahu tek, lalapan sampai bakso. Semua nya ada, just info untuk bianglala nya free cuma ada jadwalnya jadi usahakan pas jadwal ya",positif,positif,positif,,,,,,,positif,,
alun alun,"Lamongan kota soto,  sego boran.... Sangat romantis saat menjelang maghrib.....",positif,positif,positif,,,,,,,positif,,
alun alun,"Alun alun lumayan luas, ada tempat bermain untuk anak anak , banyak orang berjualan makanan tradisional, seperti petulo, es dawet, putu ayu. Soto Lamongan ,bagi kaum muslimin muslimah disebelah barat alun alun ada masjid jami'suasana sejuk dan sangat religi",positif,positif,positif,,,,,,,positif,,
alun alun,"Keren, Adiwiyata, WBL, Guyub Rukun, Lamongan Megilan, Kota Soto, Kota Boran, Tahu Campur dan masih banyak lainnya.",positif,positif,positif,,,,,,,positif,,
alun alun,Tidak afdol ketika mudik ke kampung halaman ibu kalo tidak ke alun alun kota lamongan ini. Karena kuliner khas lamaongan nasi boran dan soto lamongan cak har selalu bisa membuat rindu,positif,positif,positif,,,,,,,positif,,
alun alun,"Tempat bermain dan menghilangkan penat di tengah kota lamongan terlebih cobain makanan khas kota Lamongan yaitu soto Lamongan dan nasi boran 
cukup instrgamebel dengan pemandangan ala alun2 bangku2 taman, bunga2 dan pohon2 serta yang pasti tulisan nama kota itu.
",positif,positif,positif,,,,,,,positif,,
alun alun,"Sbg tempat yg menjadi icon kota soto, alun-alun lamongan adalah tempat yg cukup bagus. di tambah dengan nampaknya 2 menara yg menjulang tinggi menambah indahnya kota alun-alun…",positif,positif,positif,,,,,,,positif,,
alun alun,"Waktu itu saya berada di lamongan dan mampir di alun - alun ini, setelah di perbaiki banyak sekali hal menarik yang ada di alun - alun ini, hal yang tidak boleh dilewatkan adalah membeli makanan khas lamongan selain soto yaitu Sego Boran yang banyak dijajakan pedagang kaki lima yang berada di sekitar trotoar alun2",positif,positif,positif,,,,,,,positif,,
alun alun,"Tempat buat jalan"" menikmati suasana kota Soto dengan keluarga.... ada tempat bermain untuk anak anak ",positif,positif,positif,,,,,,,positif,,
alun alun,Sangat menyenangkan dg kota soto lamongan,positif,positif,positif,,,,,,,positif,,
alun alun,Soto ayam cak Wandi mak nyuss harga oke.. sebelah koperasi untuk foto buat haji,positif,positif,positif,,,,,,,positif,,
alun alun,Sarapan soto daging di pojok alun alun lamongan mantap,positif,positif,positif,,,,,,,positif,,
alun alun,"Banyak aneka kuliner disini mulai soto lamongan, lalapan, dan lain2. ",positif,positif,positif,,,,,,,positif,,
alun alun,"Soto lamongannya enak banget, rasanya khas apa lagi yg deket gapura pokoke muantep",positif,positif,positif,,,,,,,positif,,
alun alun,Indah nan mega kota soto,positif,positif,positif,,,,,,,positif,,
alun alun,"Pusat kota soto, enak sekali",positif,positif,positif,,,,,,,positif,,
alun alun,kesini cari soto lamongan yang khas dengan koyanya,positif,positif,positif,,,,,,,positif,,
alun alun,"Akses mudah ke alun-alun membuat tempat ini menjadi pusat kegiatan seni, budaya, dan pariwisata di kota tersebut",positif,,positif,,,,positif,positif,positif,positif,,positif
alun alun,Alun-alun yang letaknya di pusat kota menjadi pusat kegiatan dan kehidupan sosial bagi masyarakat,,,,,,,positif,,positif,,,positif
alun alun,Alun-alun yang terletak di tengah kota menjadi lokasi yang ideal untuk mengadakan acara atau festival besar yang dihadiri oleh banyak orang,,,,,,,positif,positif,positif,,,positif
alun alun,"Dengan lokasi yang strategis, alun-alun menjadi tempat yang mudah dijangkau oleh masyarakat yang ingin menikmati suasana kota",,,,,,,positif,positif,positif,,,positif
alun alun,Alun-alun yang letaknya strategis di tengah kota memudahkan orang-orang untuk mengunjungi tempat ini,,,,,,,positif,positif,positif,,,positif
alun alun,Alun-alun yang letaknya di pusat kota menjadi tempat kumpul dan berkumpulnya masyarakat setempat dan wisatawan.,,,,,,,,positif,positif,,,positif
alun alun,Lokasi alun-alun yang strategis di tengah kota membuat tempat ini mudah diakses oleh masyarakat lokal dan wisatawan.,,,,,,,positif,positif,positif,,,positif
goa maharani,"Suasana enak, hewan juga lumayan lengkap. ",,positif,positif,,,,,,,positif,,
goa maharani,"Tempatnya bersih, hewannya lebih banyak dan bervariasi, senang sekali kesini bersama keluarga. Bisa jadi alternatif baru untuk berlibur di kebun binatang. Goa maharani nya masih ada. Semuanya bagus lah. Cuma kurang ada foodcourt aja. Hanya ada jualan minuman dan snack lumayan laper banget keliling sini meski sekedar foto2 bercanda tawa bersama keluarga. Disini jg ada kolam renang jadi nya di dalam piramid. So, selamat liburan gess",,positif,positif,positif,negatif,negatif,,,,positif,negatif,
goa maharani,"lingkungannya kurang ramah sama kalangan disable, lansia atau orang yg kurang sehat. Maaf sblmnya ibu saya stroke jdi pergerakannya agak terbatas tapi pengen bgt tau maharani zoo, jadi ya tangga segitu banyaknya beliau ngeluh capek karena mau pake kursi roda juga gak mungkin. Mungkin suatu saat bisa ada peningkatan sarprasnya ya, biar semua kalangan bisa merasakan senengnya dan menikmati liburan di sana. Terimakasihh.. ",negatif,,,,negatif,negatif,,,,,negatif,
